Month,C_BRDF,R_BRDF,I_BRDF,A_BRDF,M_BRDF,N_BRDF,province,m,C_BRDF_R,R_BRDF_R,I_BRDF_R,A_BRDF_R,M_BRDF_R,N_BRDF_R
2020-09-01,17.223588557204337,33.499255889171685,27.48655705308694,37.70603950062801,19.390905931256544,12.45209729147738,上海,9,92.2952163691712,105.91761919280134,96.96117692270764,97.97353970978891,95.01505834575966,95.718176175179
2020-10-01,18.78140725609946,36.329778060606536,30.24007758106577,40.44469267312361,21.14990137192582,13.617502433997656,上海,10,96.24128416923257,109.2991222635729,101.66697903734885,100.61471910455542,99.70324016018796,98.61991491618282
2020-11-01,18.340910673296463,35.675633333927095,29.58771293834219,40.25376016062999,20.78905835163832,13.479318628717463,上海,11,93.47967548384752,106.82789780110336,98.5237764855197,98.34887782979041,96.71760328605899,97.27223501741426
2020-12-01,19.6431411670064,38.23299710536316,31.08837322602017,43.14484797598056,21.958160382300164,14.15649070682024,上海,12,95.93528621834736,109.30608275559104,100.28175091271554,102.28520581018272,98.44822095135942,98.70600676468241
2021-01-01,21.32376957187409,34.71398285070206,29.785802352469616,40.595627150126575,22.634897797255853,12.941076371754216,上海,1,111.68913940292569,105.46039209421967,103.14066831542989,104.11789439726897,109.00041285530297,94.70250681725328
2021-02-01,20.620025330422447,34.161894775725735,28.908673401138213,39.58021750472136,22.89968356494922,12.9697522371962,上海,2,111.87026869094817,107.94733902864238,105.45785274476759,107.30089269081726,114.81178368201377,97.30206157675035
2021-03-01,20.5232164690261,34.014704599380366,27.732850914267527,38.41015239838303,22.636703046855786,12.775273572484172,上海,3,105.3633508359623,101.97603912647088,96.91250578218717,98.51055619764402,106.5393601292472,91.42541719968158
2021-04-01,20.75470407101465,34.18590518264001,27.941670075312505,38.491658745646646,23.38570694340008,12.922742864006798,上海,4,108.54611596818968,102.6770736607848,98.02386305009509,98.15781060795189,110.99571938752328,92.75708838817577
2021-05-01,21.06412379419153,34.446699287029624,29.025614102052607,39.09560806997043,23.2855713807875,13.268458354797405,上海,5,114.95426556441622,109.70195220679987,107.23688716424007,104.8634038524755,115.3427742970383,99.97097611958472
2021-06-01,18.374063743763383,29.955801127584348,25.23556557608019,34.292805085065005,20.24122350421016,11.439561839027542,上海,6,108.48423840752343,103.35427452800434,98.2383763283945,97.89493380937247,110.1951107626369,92.92267174761926
2021-07-01,19.20917683091091,31.51031452142413,29.285700359581444,37.37193039032486,21.30314802413625,12.251375630680725,上海,7,110.68888387074922,105.7293128885188,107.16370981517865,101.75005688749208,110.04624066673452,96.55616084420447
2021-08-01,19.555292163802005,32.086137831341205,28.13758311991268,37.42828026371884,21.579395007593725,12.37119450253378,上海,8,110.27166216467698,104.5812888787474,100.79770141182667,100.10130257507956,109.6280789535752,96.51090474037848
2021-09-01,20.728417074701063,33.41993793389478,28.656064996413903,38.85977525686994,22.32431880279477,12.487242295511964,上海,9,111.07637253095702,105.66683245861341,101.08671605030463,100.9713506023089,109.38872382222075,95.98833272865872
2021-10-01,21.21243323905944,34.43331195365604,29.42156149463828,39.96743667939921,22.74626510550613,13.004850342801436,上海,10,108.69855423736641,103.59355256406883,98.91513233399711,99.42744397459862,107.22869542890344,94.18300018825533
2021-11-01,22.66554707544565,36.37752855194229,31.678857132554267,42.563512858709714,24.23949525700592,13.550221428487998,上海,11,115.52141673975652,108.92966821440962,105.48705288403295,103.99211674744674,112.77018162473209,97.78389840283036
2021-12-01,23.87836159129021,38.493676100398496,33.67462394586165,44.89560250078253,25.54047217810029,14.351412138020557,上海,12,116.61971138981187,110.05134998445757,108.62421864492553,106.43578914268568,114.50932156495502,100.06509472688275
2022-01-01,22.396634520389767,27.36436491030183,30.519231069933053,42.104395961765775,20.46877918721414,14.35870830700707,上海,1,117.30856623040987,83.13239841309,105.68034568204061,107.98751885753927,98.56927130993552,105.07670554354058
2022-02-01,22.44926985093869,27.82486175846704,29.780717884318893,41.215927667998265,20.40695731423344,14.52046155053516,上海,2,121.79450848854323,87.92310278411772,108.63904122125211,111.7352584363344,102.31404124535788,108.93583917979626
2022-03-01,22.77600416567468,28.357427355568404,30.680746889699357,41.03525229101796,21.417759752797743,15.359473923776545,上海,3,116.92885085391282,85.01552947751244,107.21393446139113,105.2431525126935,100.80241874189181,109.9190795000598
2022-04-01,20.334136867969207,25.66369396327808,28.405101353573567,39.34288169318663,19.217455431968727,13.961199520081442,上海,4,106.34656948282483,77.0806851945948,99.64965435143644,100.32851936908634,91.21192254874411,100.21094062747808
2022-05-01,18.590799644254925,23.166912416769435,26.465098778087,36.184449506524224,17.78189916083461,12.79436502044089,上海,5,101.45647358708754,73.7793626479767,97.77690840503132,97.05500768759438,88.0808784092408,96.39892787252724
2022-06-01,18.478320560120885,22.982814514598605,26.66225177594552,35.69413364858082,17.14219965739451,12.356838316325527,上海,6,109.09979202043478,79.2958970000873,103.7922576306525,101.89527634858075,93.32373557205752,100.37363728294075
2022-07-01,19.227019428040343,23.918530215858247,27.72903066811204,36.95206780166244,18.198517434202227,13.093291909085533,上海,7,110.79169812348879,80.2559353479812,101.46746567396134,100.60692508147781,94.00856751654582,103.19151397070819
2022-08-01,18.319031538576866,22.94475004141578,26.32138170059656,35.69193442082275,16.857079497634075,12.54695426084676,上海,8,103.30042834876585,74.78592608886927,94.29149483438947,95.45747498348149,85.63767619263714,97.88205231131528
2022-09-01,20.60691634484638,25.58318802103229,29.38564930020744,40.82542600637638,19.309764175728738,13.543569931597412,上海,9,110.42529240826913,80.88867333394776,103.66038697691533,106.07880193670691,94.61746533679536,104.10823031721517
2022-10-01,21.82093970296908,27.49893166951984,31.95821769174401,43.056250793639016,20.98001620115883,14.57879374277657,上海,10,111.81671480506954,82.7312814752248,107.44335689707114,107.11152175909726,98.90238053995732,105.58172509693648
