2019-03-29,20,97
2019-03-30,8,53
2019-03-31,8,42
2019-04-01,20,106
2019-04-02,20,115
2019-04-03,20,105
2019-04-04,20,114
2019-04-05,8,42
2019-04-06,8,37
2019-04-07,8,39
2019-04-08,20,98
2019-04-09,20,112
2019-04-10,20,108
2019-04-11,20,124
2019-04-12,20,101
2019-04-13,8,53
2019-04-14,8,46
2019-04-15,20,103
2019-04-16,20,115
2019-04-17,20,111
2019-04-18,20,105
2019-04-19,20,93
2019-04-20,8,50
2019-04-21,8,42
2019-04-22,20,89
2019-04-23,20,84
2019-04-24,20,94
2019-04-25,20,73
2019-04-26,20,68
2019-04-27,8,32
2019-04-28,8,33
2019-04-29,20,98
2019-04-30,20,111
2019-05-01,8,34
2019-05-02,8,42
2019-05-03,8,42
2019-05-04,8,38
2019-05-05,8,35
2019-05-06,20,93
2019-05-07,20,102
2019-05-08,20,97
2019-05-09,20,85
2019-05-10,20,101
2019-05-11,8,55
2019-05-12,8,43
2019-05-13,20,85
2019-05-14,20,122
2019-05-15,20,89
2019-05-16,20,89
2019-05-17,20,85
2019-05-18,8,48
2019-05-19,8,46
2019-05-20,20,95
2019-05-21,20,94
2019-05-22,20,91
2019-05-23,20,106
2019-05-24,20,96
2019-05-25,8,49
2019-05-26,8,46
2019-05-27,20,108
2019-05-28,20,123
2019-05-29,20,113
2019-05-30,20,114
2019-05-31,20,95
2019-06-01,8,46
2019-06-02,8,37
2019-06-03,20,90
2019-06-04,20,103
2019-06-05,20,103
2019-06-06,20,110
2019-06-07,8,44
2019-06-08,8,33
2019-06-09,8,40
2019-06-10,20,111
2019-06-11,20,109
2019-06-12,20,104
2019-06-13,20,118
2019-06-14,20,83
2019-06-15,8,39
2019-06-16,8,34
2019-06-17,20,79
2019-06-18,20,107
2019-06-19,20,104
2019-06-20,20,117
2019-06-21,20,92
2019-06-22,8,57
2019-06-23,8,44
2019-06-24,20,87
2019-06-25,20,59
2019-06-26,20,57
2019-06-27,20,91
2019-06-28,20,89
2019-06-29,8,42
2019-06-30,8,48
2019-07-01,20,83
2019-07-02,20,105
2019-07-03,20,110
2019-07-04,20,109
2019-07-05,20,96
2019-07-06,8,51
2019-07-07,8,36
2019-07-08,20,94
2019-07-09,20,94
2019-07-10,20,94
2019-07-11,20,113
2019-07-12,20,112
2019-07-13,8,51
2019-07-14,8,44
2019-07-15,20,98
2019-07-16,20,101
2019-07-17,20,100
2019-07-18,20,83
2019-07-19,20,89
2019-07-20,8,47
2019-07-21,8,43
2019-07-22,20,71
2019-07-23,20,77
2019-07-24,20,68
2019-07-25,20,65
2019-07-26,20,78
2019-07-27,8,51
2019-07-28,8,46
2019-07-29,20,67
2019-07-30,20,74
2019-07-31,20,77
2019-08-01,20,76
2019-08-02,20,64
2019-08-03,8,43
2019-08-04,8,37
2019-08-05,20,71
2019-08-06,20,65
2019-08-07,20,74
2019-08-08,20,66
2019-08-09,20,71
2019-08-10,8,46
2019-08-11,8,42
2019-08-12,20,70
2019-08-13,20,101
2019-08-14,20,99
2019-08-15,20,78
2019-08-16,20,59
2019-08-17,8,45
2019-08-18,8,43
2019-08-19,20,72
2019-08-20,20,77
2019-08-21,20,72
2019-08-22,20,71
2019-08-23,20,72
2019-08-24,8,43
2019-08-25,8,44
2019-08-26,20,71
2019-08-27,20,77
2019-08-28,20,72
2019-08-29,20,90
2019-08-30,20,71
2019-08-31,8,47
2019-09-01,8,41
2019-09-02,20,52
2019-09-03,20,79
2019-09-04,20,64
2019-09-05,20,72
2019-09-06,20,89
2019-09-07,8,48
2019-09-08,8,43
2019-09-09,20,69
2019-09-10,20,67
2019-09-11,20,77
2019-09-12,20,81
2019-09-13,8,39
2019-09-14,8,37
2019-09-15,8,27
2019-09-16,20,51
2019-09-17,20,80
2019-09-18,20,65
2019-09-19,20,74
2019-09-20,20,58
2019-09-21,8,37
2019-09-22,8,38
2019-09-23,20,59
2019-09-24,20,54
2019-09-25,20,60
2019-09-26,20,51
2019-09-27,20,65
2019-09-28,16,53
2019-09-29,8,29
2019-09-30,20,63
2019-10-01,20,52
2019-10-02,20,43
2019-10-03,8,32
2019-10-04,8,32
2019-10-05,8,37
2019-10-06,8,35
2019-10-07,8,31
2019-10-08,20,90
2019-10-09,20,86
2019-10-10,20,89
2019-10-11,20,85
2019-10-12,8,44
2019-10-13,8,39
2019-10-14,20,85
2019-10-15,20,89
2019-10-16,20,91
2019-10-17,20,78
2019-10-18,20,89
2019-10-19,8,37
2019-10-20,8,34
2019-10-21,20,94
2019-10-22,20,95
2019-10-23,20,102
2019-10-24,20,95
2019-10-25,20,102
2019-10-26,8,51
2019-10-27,8,51
2019-10-28,20,89
2019-10-29,20,86
2019-10-30,20,75
2019-10-31,20,95
2019-11-01,20,91
2019-11-02,8,39
2019-11-03,8,35
2019-11-04,20,82
2019-11-05,20,88
2019-11-06,20,69
2019-11-07,20,90
2019-11-08,20,90
2019-11-09,8,43
2019-11-10,8,32
2019-11-11,20,105
2019-11-12,20,86
2019-11-13,20,109
2019-11-14,20,100
2019-11-15,20,94
2019-11-16,8,63
2019-11-17,8,44
2019-11-18,20,88
2019-11-19,20,104
2019-11-20,20,105
2019-11-21,20,107
2019-11-22,20,89
2019-11-23,8,53
2019-11-24,8,45
2019-11-25,20,95
2019-11-26,20,91
2019-11-27,20,115
2019-11-28,20,114
2019-11-29,20,91
2019-11-30,8,48
2019-12-01,8,42
2019-12-02,20,86
2019-12-03,20,95
2019-12-04,20,98
2019-12-05,20,116
2019-12-06,20,107
2019-12-07,8,47
2019-12-08,8,40
2019-12-09,20,103
2019-12-10,20,94
2019-12-11,20,98
2019-12-12,20,106
2019-12-13,20,77
2019-12-14,8,48
2019-12-15,8,40
2019-12-16,20,85
2019-12-17,20,90
2019-12-18,20,101
2019-12-19,20,105
2019-12-20,20,100
2019-12-21,8,47
2019-12-22,8,45
2019-12-23,20,93
2019-12-24,20,106
2019-12-25,20,82
2019-12-26,20,89
2019-12-27,20,71
2019-12-28,8,33
2019-12-29,8,51
